"id","happyHour","companyName","venueName","address","suburb","lat","lng","emoji","vibe","typeCategory","typeLabel","tags","heating","hasBalcony","price","capacity","opening_hours","venue_description","official_website_url","contact_phone","notes","proTip","image","hasFireplace","shielding","hasCozy","sunIntelligence","roomTypes","city","state"
"dv-01","{""days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""start"":""16:00"",""end"":""18:30"",""deal"":""$8 House Wines & $10 Pints""}","Australian Venue Co","Wonderland Bar","37–39 Chapel Street, Windsor VIC 3181","Windsor","-37.8546","144.9925","🌿","Beer Garden","Bar","Beer Garden","[""Sunny"",""Garden"",""Beer Garden"",""Pet Friendly"",""Pram Friendly"",""Shaded"",""Umbrellas"",""Afternoon Sun"",""Craft Beer"",""Gluten Free""]","electric-fireplace","true","$$","450","Tue–Fri 3pm–late; Sat 12pm–late; Sun 3pm–late.","A Windsor bar on Chapel Street centred on drinks, karaoke and everyday happy hour.","https://wonderlandbar.com.au/","(03) 9116 8660","Real AVC venue — used as flagship demo pin.","The north-east corner gets the best winter sun until 2pm! ☀️",,,,,,,,
"dv-02","{""days"":[""Wed"",""Thu"",""Fri"",""Sat""],""start"":""17:00"",""end"":""19:00"",""deal"":""$9 Craft Beers & $12 Cocktails""}","Australian Venue Co","The Emerson Rooftop","141 Commercial Road, South Yarra VIC 3141","South Yarra","-37.8428","144.99223","🍸","Rooftop Club","Bar","Rooftop Club","[""Party"",""Views"",""Rooftop"",""Smoking Area"",""Shaded"",""Live Music"",""Craft Beer""]","heated outdoor",,"$$$","300","Rooftop typically Fri evening and Sat–Sun afternoon until late; hours vary by event.","A South Yarra nightlife venue with a rooftop bar, lounge and late-night club across several levels.","https://theemerson.com.au/","(03) 9825 0900","Real AVC venue — rooftop.","Ideal for golden hour cocktails on the west deck. 🍸",,"true","{""rainCover"":95}",,,,,
"dv-03","{""days"":[""Tue"",""Wed"",""Thu"",""Fri""],""start"":""15:00"",""end"":""18:00"",""deal"":""$7 Pots & $10 Spirits""}","Good Company","The Vineyard","71A Acland Street, St Kilda VIC 3182","St Kilda","-37.8679","144.979","🍷","Outdoor Streetside","Bar","Outdoor Streetside","[""People Watching"",""Sunny"",""Pet Friendly"",""Smoking Area"",""Afternoon Sun"",""Specialty Coffee"",""Vegan"",""Gluten Free""]","no heating",,"$$","120","Bar daily 12pm–3am. Kitchen Mon–Sat 12pm–9pm; Sun 12pm–5pm.","A long-running Acland Street restaurant and bar with cocktails, food and live music.","https://thevineyard.com.au/","0417 138 486","Real Good Company venue.","The streetside tables are a people-watching goldmine in the afternoon sun! 🍷",,,,"true",,,,
"dv-04","{""days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri"",""Sat"",""Sun""],""start"":""16:00"",""end"":""20:00"",""deal"":""$9 Pints & 2-for-1 Happy Hour Bites""}","Good Company","CBCo Brewing","89 Bertie Street, Port Melbourne VIC 3207","Port Melbourne","-37.83961","144.94228","🍻","Brewery & Beer Garden",,,"[""Pet Friendly"",""Large Groups"",""Beer Garden"",""Pram Friendly"",""Wheelchair Accessible""]","heated outdoor",,,,,,,,"Real Good Company venue (brewery).",,"/images/venues/cbcobrewing.jpg",,,"true",,,,
"dv-05","{""days"":[""Thu"",""Fri"",""Sat""],""start"":""17:30"",""end"":""19:30"",""deal"":""$15 Cocktails & $10 Wines""}","Good Company","Dick Whittington Tavern","32 Chapel Street, St Kilda VIC 3182","St Kilda","-37.8643","144.9811","🎱","Tavern","Bar","Tavern","[""Fireplace"",""Pub Grub"",""Pet Friendly"",""Smoking Area""]","fireplace",,,,"Open from 11am–late; kitchen lunch and dinner service varies by day.","A neighbourhood St Kilda tavern serving pub meals and drinks in a traditional local-pub setting.","https://thedick.au/","(03) 9525 4250","Real Good Company venue.",,,,,"true",,,,
"dv-06","{""days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""start"":""16:00"",""end"":""18:00"",""deal"":""$8 Tap Beers & $9 House Wines""}","Sand Hill Road","Garden State Hotel","101 Flinders Lane, Melbourne VIC 3000","CBD","-37.8138","144.9702","🌳","Multi-Level Bar",,,"[""Rooftop"",""Beer Garden"",""Large Groups"",""Wheelchair Accessible"",""Shaded""]","heated outdoor",,"$$","800",,,,,"Real Sand Hill Road venue.","The internal garden courtyard is perfectly shielded from Melbourne's south-westerly winds. 🌳","/images/venues/gardenstatehotel.jpg",,,"true",,,,
"dv-07","{""days"":[""Fri"",""Sat"",""Sun""],""start"":""14:00"",""end"":""17:00"",""deal"":""$6 Schooners (Afternoon Special)""}","Sand Hill Road","Welcome to Thornbury","520 High Street, Thornbury VIC 3071","Thornbury","-37.76447","144.99977","🚚","Food Truck Park",,,"[""Pram Friendly"",""Beer Garden"",""Pet Friendly"",""Wheelchair Accessible"",""Craft Beer"",""Vegan"",""Live Music""]","heated outdoor",,,,,,,,"Real Sand Hill Road venue.",,"/images/venues/welcometothornbury.jpg",,,"true",,,,
"dv-08","{""days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""start"":""17:00"",""end"":""19:30"",""deal"":""$12 Espresso Martinis & $9 Pints""}","ALH Group (Endeavour)","Royal Standard Hotel","171 Bourke Street, Melbourne VIC 3000","CBD","-37.8139","144.9645","🍺","Classic Pub",,,"[""Beer Garden"",""Smoking Area"",""Wheelchair Accessible""]","fireplace",,,,,,,,"Example ALH Group venue for outreach deck.",,"/images/venues/royalstandardhotel.jpg",,,"true",,,,
"dv-09",,"Pacific Concepts","CQ City Bar","113 Queen Street, Melbourne VIC 3000","CBD","-37.81525","144.9626","🔥","Rooftop Courtyard",,,"[""Cozy"",""After Work"",""Rooftop"",""Wheelchair Accessible"",""Fireplace""]","fireplace",,,,,,,,"Real Pacific Concepts venue.",,"/images/venues/cqcitybar.jpg",,,,,,,
"dv-10",,"Commune Group","Howler","7-11 Dawson Street, Brunswick VIC 3056","Brunswick","-37.77168","144.95952","🎸","Warehouse & Garden","Bar","Warehouse & Garden","[""Garden"",""Arts"",""Beer Garden"",""Pet Friendly"",""Pram Friendly""]","heated outdoor",,,,"Hours vary by gig, kitchen and garden session — check the venue before visiting.","A Brunswick arts and live-music venue with a kitchen and garden in a warehouse-style site.","https://www.howlerbrunswick.com/","0466 792 357","Real Commune Group venue.",,,,,"true",,,,
